SampleID,Batch,CMO tag,CMO tag - Hu,10X library version,note for CMO tags,Sample collect_date,MouseID,MouseID_New,Replicate,Lineage,Treatment,Tissue,CD45,LN_treatment,Havest_time,HA_tag,QC,Initial num of cells
XZ_67501_XZ_67502.FvB-MG-1-CD45_positive,3,309,309,V3,"9 B6 mice mix, sort CD45+ and CD45-.  2 FVB mice mix, sort CD45+ and CD45-. This batch has 2 rat samples #301, #302.",20240315,OP_rep1,20_mix2,1,FvB,Virus,MG,Positive,WT,1week,Yes,PASS,1812
XZ_67501_XZ_67502.FvB-MG-2-CD45_negative,3,310/311,311,V3,"10 B6 mice mix, sort CD45+ and CD45-.  2 FVB mice mix, sort CD45+ and CD45-. This batch has 2 rat samples #301, #302.",20240315,OP_rep2,20_mix2,2,FvB,Virus,MG,Negative,WT,1week,Yes,PASS,1866
XZ_69317_XZ_69318.FN_CD45_neg_1,4,309/310,309,V3,"3 virus mice mix, sort CD45+ and CD45-. 3 NC mice mix, sort CD45+ and CD45- This batch has 5 rat samples #301, #302, #303, #304, #305.",20240529,QRS_rep1,21_mix3,1,B6,Virus,MG,Negative,LTA,1week,Yes,PASS,2730
XZ_69317_XZ_69318.FN_CD45_neg_2,4,309/310,310,V3,"4 virus mice mix, sort CD45+ and CD45-. 3 NC mice mix, sort CD45+ and CD45- This batch has 5 rat samples #301, #302, #303, #304, #305.",20240529,QRS_rep2,21_mix3,2,B6,Virus,MG,Negative,LTA,1week,Yes,PASS,1977
XZ_69317_XZ_69318.FN_CD45_pos_1,4,311/312,311,V3,"5 virus mice mix, sort CD45+ and CD45-. 3 NC mice mix, sort CD45+ and CD45- This batch has 5 rat samples #301, #302, #303, #304, #305.",20240529,QRS_rep1,21_mix3,1,B6,Virus,MG,Positive,LTA,1week,Yes,PASS,2137
XZ_69317_XZ_69318.FN_CD45_pos_2,4,311/312,312,V3,"6 virus mice mix, sort CD45+ and CD45-. 3 NC mice mix, sort CD45+ and CD45- This batch has 5 rat samples #301, #302, #303, #304, #305.",20240529,QRS_rep2,21_mix3,2,B6,Virus,MG,Positive,LTA,1week,Yes,PASS,2331
XZ_69317_XZ_69318.NC_CD45_neg_1,4,306/307,306,V3,"7 virus mice mix, sort CD45+ and CD45-. 3 NC mice mix, sort CD45+ and CD45- This batch has 5 rat samples #301, #302, #303, #304, #305.",20240529,UVW_rep1,22_mix3,1,B6,Control,MG,Negative,LTA,1week,Yes,PASS,951
XZ_69317_XZ_69318.NC_CD45_neg_2,4,306/307,307,V3,"8 virus mice mix, sort CD45+ and CD45-. 3 NC mice mix, sort CD45+ and CD45- This batch has 5 rat samples #301, #302, #303, #304, #305.",20240529,UVW_rep2,22_mix3,2,B6,Control,MG,Negative,LTA,1week,Yes,PASS,1642
XZ_69317_XZ_69318.NC_CD45_pos,4,308,308,V3,"9 virus mice mix, sort CD45+ and CD45-. 3 NC mice mix, sort CD45+ and CD45- This batch has 5 rat samples #301, #302, #303, #304, #305.",20240529,UVW_rep1,22_mix3,1,B6,Control,MG,Positive,LTA,1week,Yes,PASS,1868
XZ_69803_XZ_69804.LTA_B6_FN_1_rep1,5,303,303,V3,"This batch has 2 rat samples #301, #302.",20240625,,23,1,B6,Virus,MG,Unsorted,LTA,2month,Yes,PASS,1307
XZ_69803_XZ_69804.LTA_B6_FN_1_rep2,5,304,304,V3,"This batch has 2 rat samples #301, #302.",20240625,,23,2,B6,Virus,MG,Unsorted,LTA,2month,Yes,PASS,1631
XZ_69803_XZ_69804.LTA_B6_FN_2_rep1,5,305,305,V3,"This batch has 2 rat samples #301, #302.",20240625,,24,1,B6,Virus,MG,Unsorted,LTA,2month,Yes,PASS,1549
XZ_69803_XZ_69804.LTA_B6_FN_2_rep2,5,306,306,V3,"This batch has 2 rat samples #301, #302.",20240625,,24,2,B6,Virus,MG,Unsorted,LTA,2month,Yes,PASS,1501
XZ_69803_XZ_69804.LTA_B6_FN_3_rep1,5,307,307,V3,"This batch has 2 rat samples #301, #302.",20240625,,25,1,B6,Virus,MG,Unsorted,LTA,2month,Yes,PASS,1956
XZ_69803_XZ_69804.LTA_B6_FN_3_rep2,5,308,308,V3,"This batch has 2 rat samples #301, #302.",20240625,,25,2,B6,Virus,MG,Unsorted,LTA,2month,Yes,PASS,1597
XZ_69803_XZ_69804.LTA_B6_FN_4_rep1,5,309,309,V3,"This batch has 2 rat samples #301, #302.",20240625,,26,1,B6,Virus,MG,Unsorted,LTA,2month,Yes,PASS,1593
XZ_69803_XZ_69804.LTA_B6_FN_4_rep2,5,310,310,V3,"This batch has 2 rat samples #301, #302.",20240625,,26,2,B6,Virus,MG,Unsorted,LTA,2month,Yes,PASS,1181
XZ_70874_XZ_70875.FVB_MG1_rep1,7,301/302,301,V3,No other samples in this batch.,20240828,,33,1,FVB,Virus,MG,Unsorted,WT,1week,Yes,PASS,4246
XZ_70874_XZ_70875.FVB_MG1_rep2,7,301/302,302,V3,No other samples in this batch.,20240828,,33,2,FVB,Virus,MG,Unsorted,WT,1week,Yes,PASS,2987
XZ_70874_XZ_70875.FVB_MG2_rep1,7,303/304,303,V3,No other samples in this batch.,20240828,,34,1,FVB,Virus,MG,Unsorted,WT,1week,Yes,PASS,3069
